"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"781","high poverty","Health & Sports","2006-04",1899.35,1808
"782","highest poverty","Health & Sports","2006-04",9441.3,7190
"783","low poverty","Health & Sports","2006-04",683.68,70
"784","high poverty","History & Civics","2006-04",3036.57,634
"785","highest poverty","History & Civics","2006-04",18045.12,1614
"786","low poverty","History & Civics","2006-04",581.17,49
"787","moderate poverty","History & Civics","2006-04",1690.23,563
"788","high poverty","Literacy & Language","2006-04",22315.53,3702
"789","highest poverty","Literacy & Language","2006-04",124375.67,11179
"790","low poverty","Literacy & Language","2006-04",2464.13,117
"791","moderate poverty","Literacy & Language","2006-04",7689.63,1279
"792","high poverty","Math & Science","2006-04",13533.41,1472
"793","highest poverty","Math & Science","2006-04",66804.51,10628
"794","low poverty","Math & Science","2006-04",684.7,49
"795","moderate poverty","Math & Science","2006-04",7021.29,1627
"796","high poverty","Music & The Arts","2006-04",3116.62,1290
"797","highest poverty","Music & The Arts","2006-04",29596.86,4073
"798","low poverty","Music & The Arts","2006-04",128.13,25
"799","moderate poverty","Music & The Arts","2006-04",2003.48,307
"800","high poverty","Special Needs","2006-04",5321.83,250
"801","highest poverty","Special Needs","2006-04",26916.97,1927
"802","moderate poverty","Special Needs","2006-04",1210.53,56
"803","high poverty","Applied Learning","2006-05",7500.61,1628
"804","highest poverty","Applied Learning","2006-05",44684.37,8570
"805","low poverty","Applied Learning","2006-05",977.86,2332
"806","moderate poverty","Applied Learning","2006-05",2308.31,150
"807","high poverty","Health & Sports","2006-05",2702.93,1253
"808","highest poverty","Health & Sports","2006-05",13011.94,2676
"809","moderate poverty","Health & Sports","2006-05",771.83,44
"810","high poverty","History & Civics","2006-05",2968.65,347
"811","highest poverty","History & Civics","2006-05",25835.4,2580
"812","moderate poverty","History & Civics","2006-05",1368.39,138
"813","high poverty","Literacy & Language","2006-05",23017.95,2531
"814","highest poverty","Literacy & Language","2006-05",107766.38,12728
"815","low poverty","Literacy & Language","2006-05",1580.55,84
"816","moderate poverty","Literacy & Language","2006-05",12286.1,2311
"817","high poverty","Math & Science","2006-05",6977.57,1305
"818","highest poverty","Math & Science","2006-05",87847.55,13540
"819","low poverty","Math & Science","2006-05",972.18,115
"820","moderate poverty","Math & Science","2006-05",9820.89,892
"821","high poverty","Music & The Arts","2006-05",3181.6,1825
"822","highest poverty","Music & The Arts","2006-05",36168.9,7106
"823","low poverty","Music & The Arts","2006-05",171.18,825
"824","moderate poverty","Music & The Arts","2006-05",2088.97,934
"825","high poverty","Special Needs","2006-05",3590.11,179
"826","highest poverty","Special Needs","2006-05",9686.95,665
"827","moderate poverty","Special Needs","2006-05",1513.93,31
"828","high poverty","Applied Learning","2006-06",6984.08,1868
"829","highest poverty","Applied Learning","2006-06",29200.69,3306
"830","low poverty","Applied Learning","2006-06",1081.38,44
"831","moderate poverty","Applied Learning","2006-06",3876.57,299
"832","high poverty","Health & Sports","2006-06",4055.24,2234
"833","highest poverty","Health & Sports","2006-06",9510.19,2907
"834","low poverty","Health & Sports","2006-06",429.48,20
"835","moderate poverty","Health & Sports","2006-06",1594.9,25
"836","high poverty","History & Civics","2006-06",1964.94,506
"837","highest poverty","History & Civics","2006-06",10688.9,1399
"838","low poverty","History & Civics","2006-06",1119.28,70
"839","moderate poverty","History & Civics","2006-06",2515.36,701
"840","high poverty","Literacy & Language","2006-06",16148.83,2638
"841","highest poverty","Literacy & Language","2006-06",73859.8,9135
"842","low poverty","Literacy & Language","2006-06",3810.85,273
"843","moderate poverty","Literacy & Language","2006-06",4209.78,1011
"844","high poverty","Math & Science","2006-06",13005.27,2223
"845","highest poverty","Math & Science","2006-06",43925.52,7245
"846","low poverty","Math & Science","2006-06",201.93,20
"847","moderate poverty","Math & Science","2006-06",2911.03,1203
"848","high poverty","Music & The Arts","2006-06",4228.15,1342
"849","highest poverty","Music & The Arts","2006-06",27213.39,6025
"850","low poverty","Music & The Arts","2006-06",370.03,156
"851","moderate poverty","Music & The Arts","2006-06",895.86,1572
"852","high poverty","Special Needs","2006-06",6987.18,437
"853","highest poverty","Special Needs","2006-06",7747.08,1304
"854","moderate poverty","Special Needs","2006-06",270.6,16
"855","high poverty","Applied Learning","2006-07",7305.19,1029
"856","highest poverty","Applied Learning","2006-07",12415.92,1979
"857","moderate poverty","Applied Learning","2006-07",499.18,38
"858","high poverty","Health & Sports","2006-07",906.1,112
"859","highest poverty","Health & Sports","2006-07",3535.25,3195
"860","high poverty","History & Civics","2006-07",2092.03,293
"861","highest poverty","History & Civics","2006-07",4388.07,596
"862","moderate poverty","History & Civics","2006-07",218.33,83
"863","high poverty","Literacy & Language","2006-07",5949.1,1038
"864","highest poverty","Literacy & Language","2006-07",34818.11,4954
"865","moderate poverty","Literacy & Language","2006-07",3183.68,291
"866","high poverty","Math & Science","2006-07",6624.6,2264
"867","highest poverty","Math & Science","2006-07",23444.48,3415
"868","moderate poverty","Math & Science","2006-07",3834.54,338
"869","high poverty","Music & The Arts","2006-07",1448.34,147
"870","highest poverty","Music & The Arts","2006-07",11633.87,3641
"871","moderate poverty","Music & The Arts","2006-07",728.78,820
"872","high poverty","Special Needs","2006-07",1086.51,9
"873","highest poverty","Special Needs","2006-07",8289.24,760
"874","moderate poverty","Special Needs","2006-07",206.03,12
"875","high poverty","Applied Learning","2006-08",4349.03,772
"876","highest poverty","Applied Learning","2006-08",23487.84,2827
"877","moderate poverty","Applied Learning","2006-08",4576.63,1000
"878","high poverty","Health & Sports","2006-08",3738.95,1950
"879","highest poverty","Health & Sports","2006-08",12942.52,1793
"880","moderate poverty","Health & Sports","2006-08",822.05,192
"881","high poverty","History & Civics","2006-08",8271.58,833
"882","highest poverty","History & Civics","2006-08",10979.9,1514
"883","low poverty","History & Civics","2006-08",1580.55,50
"884","moderate poverty","History & Civics","2006-08",745.78,163
"885","high poverty","Literacy & Language","2006-08",12825.18,1462
"886","highest poverty","Literacy & Language","2006-08",83062.96,10743
"887","low poverty","Literacy & Language","2006-08",1632.5,145
"888","moderate poverty","Literacy & Language","2006-08",10759.43,1418
"889","high poverty","Math & Science","2006-08",5530.97,1026
"890","highest poverty","Math & Science","2006-08",48061.24,10181
"891","low poverty","Math & Science","2006-08",694.95,49
"892","moderate poverty","Math & Science","2006-08",4660.09,1198
"893","high poverty","Music & The Arts","2006-08",1701.52,563
"894","highest poverty","Music & The Arts","2006-08",20880.35,4126
"895","low poverty","Music & The Arts","2006-08",283.93,96
"896","moderate poverty","Music & The Arts","2006-08",714.43,64
"897","high poverty","Special Needs","2006-08",807.71,110
"898","highest poverty","Special Needs","2006-08",11187.76,417
"899","moderate poverty","Special Needs","2006-08",2948.93,1000
"900","high poverty","Applied Learning","2006-09",15585.36,3970
"901","highest poverty","Applied Learning","2006-09",59575.82,10652
"902","low poverty","Applied Learning","2006-09",4294.77,185
"903","moderate poverty","Applied Learning","2006-09",7265.31,389
"904","high poverty","Health & Sports","2006-09",10348.71,2281
"905","highest poverty","Health & Sports","2006-09",17212.08,6927
"906","low poverty","Health & Sports","2006-09",143.5,24
"907","high poverty","History & Civics","2006-09",5951.18,901
"908","highest poverty","History & Civics","2006-09",26468.25,3143
"909","low poverty","History & Civics","2006-09",278.8,153
"910","moderate poverty","History & Civics","2006-09",3118.05,554
"911","high poverty","Literacy & Language","2006-09",30994.41,5823
"912","highest poverty","Literacy & Language","2006-09",184745.4,21434
"913","low poverty","Literacy & Language","2006-09",3223.18,222
"914","moderate poverty","Literacy & Language","2006-09",16021.73,1001
"915","high poverty","Math & Science","2006-09",27425.86,4679
"916","highest poverty","Math & Science","2006-09",115715,23519
"917","moderate poverty","Math & Science","2006-09",12426.12,1438
"918","high poverty","Music & The Arts","2006-09",10178.13,3211
"919","highest poverty","Music & The Arts","2006-09",44789.39,11551
"920","low poverty","Music & The Arts","2006-09",328.01,170
"921","moderate poverty","Music & The Arts","2006-09",2713.2,482
"922","high poverty","Special Needs","2006-09",7386.43,606
"923","highest poverty","Special Needs","2006-09",29804.24,1606
"924","low poverty","Special Needs","2006-09",186.55,15
"925","moderate poverty","Special Needs","2006-09",2723.16,154
"926","high poverty","Applied Learning","2006-10",22118.62,3286
"927","highest poverty","Applied Learning","2006-10",50658.78,8496
"928","low poverty","Applied Learning","2006-10",2001.83,82
"929","moderate poverty","Applied Learning","2006-10",5741.93,442
"930","high poverty","Health & Sports","2006-10",2538.42,1810
"931","highest poverty","Health & Sports","2006-10",12884.14,7083
"932","moderate poverty","Health & Sports","2006-10",852.8,869
"933","high poverty","History & Civics","2006-10",8549.57,970
"934","highest poverty","History & Civics","2006-10",28088.36,3132
"935","low poverty","History & Civics","2006-10",804.63,60
"936","moderate poverty","History & Civics","2006-10",2468.21,363
"937","high poverty","Literacy & Language","2006-10",41224.88,6222
"938","highest poverty","Literacy & Language","2006-10",192389.07,19332
"939","low poverty","Literacy & Language","2006-10",2829.55,1017
"940","moderate poverty","Literacy & Language","2006-10",18411.63,2455
"941","high poverty","Math & Science","2006-10",27956.1,6413
"942","highest poverty","Math & Science","2006-10",81149.32,17237
"943","low poverty","Math & Science","2006-10",2853.61,731
"944","moderate poverty","Math & Science","2006-10",11092.63,2728
"945","high poverty","Music & The Arts","2006-10",12766.34,2889
"946","highest poverty","Music & The Arts","2006-10",46966.18,15090
"947","low poverty","Music & The Arts","2006-10",387.45,20
"948","moderate poverty","Music & The Arts","2006-10",4495.47,1720
"949","high poverty","Special Needs","2006-10",4313.43,821
"950","highest poverty","Special Needs","2006-10",12446.66,1580
"951","low poverty","Special Needs","2006-10",1300.73,59
"952","moderate poverty","Special Needs","2006-10",7218.07,170
"953","high poverty","Applied Learning","2006-11",4082.61,1079
"954","highest poverty","Applied Learning","2006-11",43201.34,6825
"955","low poverty","Applied Learning","2006-11",1179.42,50
"956","moderate poverty","Applied Learning","2006-11",735.97,149
"957","high poverty","Health & Sports","2006-11",1794.78,242
"958","highest poverty","Health & Sports","2006-11",11164.35,3243
"959","moderate poverty","Health & Sports","2006-11",190.65,375
"960","high poverty","History & Civics","2006-11",4640.19,1400
"961","highest poverty","History & Civics","2006-11",10397.23,1568
"962","moderate poverty","History & Civics","2006-11",1120.33,220
"963","high poverty","Literacy & Language","2006-11",23535.74,2436
"964","highest poverty","Literacy & Language","2006-11",92345.94,14791
"965","low poverty","Literacy & Language","2006-11",1691.1,493
"966","moderate poverty","Literacy & Language","2006-11",3853.02,469
"967","high poverty","Math & Science","2006-11",12756.05,3533
"968","highest poverty","Math & Science","2006-11",54731.77,9937
"969","low poverty","Math & Science","2006-11",190.91,40
"970","moderate poverty","Math & Science","2006-11",3230.83,901
"971","high poverty","Music & The Arts","2006-11",13150.06,2629
"972","highest poverty","Music & The Arts","2006-11",82571.53,12175
"973","low poverty","Music & The Arts","2006-11",1208.48,173
"974","moderate poverty","Music & The Arts","2006-11",3540.46,765
"975","high poverty","Special Needs","2006-11",2956.1,105
"976","highest poverty","Special Needs","2006-11",11124.38,1067
"977","high poverty","Applied Learning","2006-12",10754.64,1316
"978","highest poverty","Applied Learning","2006-12",81153.15,12561
"979","low poverty","Applied Learning","2006-12",897.07,115
"980","moderate poverty","Applied Learning","2006-12",3871.4,518
"981","high poverty","Health & Sports","2006-12",3081.17,2460
"982","highest poverty","Health & Sports","2006-12",39252.62,12477
"983","low poverty","Health & Sports","2006-12",774.9,344
"984","moderate poverty","Health & Sports","2006-12",3175.73,2146
"985","high poverty","History & Civics","2006-12",8050.29,1924
"986","highest poverty","History & Civics","2006-12",36660.99,4589
"987","low poverty","History & Civics","2006-12",1656.41,79
"988","moderate poverty","History & Civics","2006-12",2261.17,381
"989","high poverty","Literacy & Language","2006-12",31014.77,5253
"990","highest poverty","Literacy & Language","2006-12",215196.41,27611
"991","low poverty","Literacy & Language","2006-12",4947.83,877
"992","moderate poverty","Literacy & Language","2006-12",13866.09,1797
"993","high poverty","Math & Science","2006-12",21069.83,4508
"994","highest poverty","Math & Science","2006-12",119526.93,23393
"995","low poverty","Math & Science","2006-12",1146.67,115
"996","moderate poverty","Math & Science","2006-12",9318.99,1698
"997","high poverty","Music & The Arts","2006-12",17781.77,3868
"998","highest poverty","Music & The Arts","2006-12",94765.15,27981
"999","low poverty","Music & The Arts","2006-12",3405.63,177
"1000","moderate poverty","Music & The Arts","2006-12",4861.59,2757
"1001","high poverty","Special Needs","2006-12",4189.6,895
"1002","highest poverty","Special Needs","2006-12",31928.07,2942
"1003","moderate poverty","Special Needs","2006-12",9441.58,203
"1004","high poverty","Applied Learning","2007-01",8764.99,955
"1005","highest poverty","Applied Learning","2007-01",48319.14,5531
"1006","low poverty","Applied Learning","2007-01",3979.65,970
"1007","moderate poverty","Applied Learning","2007-01",3446.34,393
"1008","high poverty","Health & Sports","2007-01",3227.74,534
"1009","highest poverty","Health & Sports","2007-01",26229.22,3621
"1010","moderate poverty","Health & Sports","2007-01",302.38,100
"1011","high poverty","History & Civics","2007-01",9474.39,1295
"1012","highest poverty","History & Civics","2007-01",43158.42,2304
"1013","low poverty","History & Civics","2007-01",1298.5,44
"1014","moderate poverty","History & Civics","2007-01",2998.6,238
"1015","high poverty","Literacy & Language","2007-01",23119.58,5973
"1016","highest poverty","Literacy & Language","2007-01",131335.7,14703
"1017","low poverty","Literacy & Language","2007-01",1177.5,184
"1018","moderate poverty","Literacy & Language","2007-01",11082.19,1071
"1019","high poverty","Math & Science","2007-01",12161.91,2421
"1020","highest poverty","Math & Science","2007-01",93731.94,11741
"1021","low poverty","Math & Science","2007-01",628.33,93
"1022","moderate poverty","Math & Science","2007-01",5708.46,1662
"1023","high poverty","Music & The Arts","2007-01",13237.72,2115
"1024","highest poverty","Music & The Arts","2007-01",51657.75,12871
"1025","low poverty","Music & The Arts","2007-01",5790.24,545
"1026","moderate poverty","Music & The Arts","2007-01",3417.35,1464
"1027","high poverty","Special Needs","2007-01",4061.74,188
"1028","highest poverty","Special Needs","2007-01",15275.78,583
"1029","low poverty","Special Needs","2007-01",728,30
"1030","moderate poverty","Special Needs","2007-01",4318.33,120
"1031","high poverty","Applied Learning","2007-02",12315.91,2706
"1032","highest poverty","Applied Learning","2007-02",41490.55,6152
"1033","low poverty","Applied Learning","2007-02",441.92,60
"1034","moderate poverty","Applied Learning","2007-02",2841.26,177
"1035","high poverty","Health & Sports","2007-02",5159.63,712
"1036","highest poverty","Health & Sports","2007-02",8183.67,2277
"1037","moderate poverty","Health & Sports","2007-02",419.23,80
"1038","high poverty","History & Civics","2007-02",1346.5,340
"1039","highest poverty","History & Civics","2007-02",15547.72,2980
"1040","low poverty","History & Civics","2007-02",805.65,1300
"1041","moderate poverty","History & Civics","2007-02",1706.26,205
"1042","high poverty","Literacy & Language","2007-02",21216.88,4058
"1043","highest poverty","Literacy & Language","2007-02",96052.8,10479
"1044","low poverty","Literacy & Language","2007-02",975.8,400
"1045","moderate poverty","Literacy & Language","2007-02",2917.81,443
"1046","high poverty","Math & Science","2007-02",14979.36,2029
"1047","highest poverty","Math & Science","2007-02",61469.69,14857
"1048","low poverty","Math & Science","2007-02",546.33,60
"1049","moderate poverty","Math & Science","2007-02",6209.74,760
"1050","high poverty","Music & The Arts","2007-02",9887.47,2647
"1051","highest poverty","Music & The Arts","2007-02",31114.91,9367
"1052","moderate poverty","Music & The Arts","2007-02",4363.42,1103
"1053","high poverty","Special Needs","2007-02",2593.12,175
"1054","highest poverty","Special Needs","2007-02",12857.6,1288
"1055","low poverty","Special Needs","2007-02",262.01,3
"1056","moderate poverty","Special Needs","2007-02",1328.41,61
"1057","high poverty","Applied Learning","2007-03",9777.19,1748
"1058","highest poverty","Applied Learning","2007-03",37001.68,11739
"1059","low poverty","Applied Learning","2007-03",3788.96,1765
"1060","moderate poverty","Applied Learning","2007-03",2620.07,242
"1061","high poverty","Health & Sports","2007-03",2576.17,1755
"1062","highest poverty","Health & Sports","2007-03",22915.13,3656
"1063","low poverty","Health & Sports","2007-03",448,20
"1064","moderate poverty","Health & Sports","2007-03",654.59,96
"1065","high poverty","History & Civics","2007-03",8294.77,1068
"1066","highest poverty","History & Civics","2007-03",10931.38,1176
"1067","moderate poverty","History & Civics","2007-03",595.4,560
"1068","high poverty","Literacy & Language","2007-03",28488.94,3642
"1069","highest poverty","Literacy & Language","2007-03",98327.53,16366
"1070","low poverty","Literacy & Language","2007-03",1119.48,180
"1071","moderate poverty","Literacy & Language","2007-03",14477.87,1419
"1072","high poverty","Math & Science","2007-03",19815.66,3038
"1073","highest poverty","Math & Science","2007-03",56763.8,12416
"1074","low poverty","Math & Science","2007-03",1063.6,376
"1075","moderate poverty","Math & Science","2007-03",13227.24,2036
"1076","high poverty","Music & The Arts","2007-03",7884.91,2278
"1077","highest poverty","Music & The Arts","2007-03",54865.79,10963
"1078","low poverty","Music & The Arts","2007-03",8431.09,1925
"1079","moderate poverty","Music & The Arts","2007-03",3336.93,2379
"1080","high poverty","Special Needs","2007-03",5536.9,412
"1081","highest poverty","Special Needs","2007-03",15157.32,796
"1082","moderate poverty","Special Needs","2007-03",1575.03,63
"1083","high poverty","Applied Learning","2007-04",18605.71,3240
"1084","highest poverty","Applied Learning","2007-04",82908.83,10414
"1085","low poverty","Applied Learning","2007-04",4961.87,330
"1086","moderate poverty","Applied Learning","2007-04",9780.27,595
"1087","high poverty","Health & Sports","2007-04",3313.03,905
"1088","highest poverty","Health & Sports","2007-04",24690.9,8965
"1089","moderate poverty","Health & Sports","2007-04",2716.18,1799
"1090","high poverty","History & Civics","2007-04",10839.16,2031
"1091","highest poverty","History & Civics","2007-04",33428.19,3582
"1092","low poverty","History & Civics","2007-04",710.96,38
"1093","moderate poverty","History & Civics","2007-04",1875.85,451
"1094","high poverty","Literacy & Language","2007-04",42261.88,5080
"1095","highest poverty","Literacy & Language","2007-04",178760.58,19309
"1096","low poverty","Literacy & Language","2007-04",4847.48,156
"1097","moderate poverty","Literacy & Language","2007-04",16251.96,2279
"1098","high poverty","Math & Science","2007-04",26946.04,4644
"1099","highest poverty","Math & Science","2007-04",100486.14,15231
"1100","low poverty","Math & Science","2007-04",4151.88,100
"1101","moderate poverty","Math & Science","2007-04",12473.75,2179
"1102","high poverty","Music & The Arts","2007-04",7378.3,2978
"1103","highest poverty","Music & The Arts","2007-04",72744.11,120850
"1104","low poverty","Music & The Arts","2007-04",9191.96,579
"1105","moderate poverty","Music & The Arts","2007-04",13582.8,5093
"1106","high poverty","Special Needs","2007-04",7697.21,235
"1107","highest poverty","Special Needs","2007-04",24988.5,1907
"1108","moderate poverty","Special Needs","2007-04",3544.97,190
"1109","high poverty","Applied Learning","2007-05",10377.62,1304
"1110","highest poverty","Applied Learning","2007-05",42491.93,14025
"1111","low poverty","Applied Learning","2007-05",1920.67,96
"1112","moderate poverty","Applied Learning","2007-05",2806.03,232
"1113","high poverty","Health & Sports","2007-05",3424.68,3535
"1114","highest poverty","Health & Sports","2007-05",13253.04,4663
"1115","low poverty","Health & Sports","2007-05",1417,400
"1116","moderate poverty","Health & Sports","2007-05",4299.54,1500
"1117","high poverty","History & Civics","2007-05",4133.43,415
"1118","highest poverty","History & Civics","2007-05",23785.38,2492
"1119","low poverty","History & Civics","2007-05",259.97,60
"1120","moderate poverty","History & Civics","2007-05",637.33,280
"1121","high poverty","Literacy & Language","2007-05",31307.62,5184
"1122","highest poverty","Literacy & Language","2007-05",110051.26,20235
"1123","low poverty","Literacy & Language","2007-05",2828.65,616
"1124","moderate poverty","Literacy & Language","2007-05",10442.97,1595
"1125","high poverty","Math & Science","2007-05",26116.75,7478
"1126","highest poverty","Math & Science","2007-05",61176.4,13284
"1127","low poverty","Math & Science","2007-05",1581.69,172
"1128","moderate poverty","Math & Science","2007-05",11741.9,2016
"1129","high poverty","Music & The Arts","2007-05",12638.02,3028
"1130","highest poverty","Music & The Arts","2007-05",33467.49,10231
"1131","low poverty","Music & The Arts","2007-05",2872.66,255
"1132","moderate poverty","Music & The Arts","2007-05",2739.57,838
"1133","high poverty","Special Needs","2007-05",9080.52,1061
"1134","highest poverty","Special Needs","2007-05",14149.12,826
"1135","low poverty","Special Needs","2007-05",382.33,13
"1136","moderate poverty","Special Needs","2007-05",2601.42,96
"1137","high poverty","Applied Learning","2007-06",11328.87,4601
"1138","highest poverty","Applied Learning","2007-06",34511.59,9719
"1139","low poverty","Applied Learning","2007-06",892,320
"1140","moderate poverty","Applied Learning","2007-06",3660.45,453
"1141","high poverty","Health & Sports","2007-06",2015.52,1419
"1142","highest poverty","Health & Sports","2007-06",16020.2,8007
"1143","moderate poverty","Health & Sports","2007-06",1274.65,685
"1144","high poverty","History & Civics","2007-06",2247.08,374
"1145","highest poverty","History & Civics","2007-06",36400,3920
"1146","low poverty","History & Civics","2007-06",525.67,70
"1147","moderate poverty","History & Civics","2007-06",1700.81,252
"1148","high poverty","Literacy & Language","2007-06",20572.15,3064
"1149","highest poverty","Literacy & Language","2007-06",129064.14,19100
"1150","low poverty","Literacy & Language","2007-06",1060.63,117
"1151","moderate poverty","Literacy & Language","2007-06",12997.07,2053
"1152","high poverty","Math & Science","2007-06",14922.79,3433
"1153","highest poverty","Math & Science","2007-06",58570.28,12115
"1154","low poverty","Math & Science","2007-06",551.03,210
"1155","moderate poverty","Math & Science","2007-06",9515.59,2734
"1156","high poverty","Music & The Arts","2007-06",7267.87,2073
"1157","highest poverty","Music & The Arts","2007-06",37543.48,111718
"1158","low poverty","Music & The Arts","2007-06",1682.21,210
"1159","moderate poverty","Music & The Arts","2007-06",2502.33,447
"1160","high poverty","Special Needs","2007-06",6905.57,571
"1161","highest poverty","Special Needs","2007-06",35897.68,1776
"1162","moderate poverty","Special Needs","2007-06",629.73,8
"1163","high poverty","Applied Learning","2007-07",2269.6,645
"1164","highest poverty","Applied Learning","2007-07",19388.43,3339
"1165","low poverty","Applied Learning","2007-07",444,87
"1166","moderate poverty","Applied Learning","2007-07",2323.63,119
"1167","high poverty","Health & Sports","2007-07",2111.2,170
"1168","highest poverty","Health & Sports","2007-07",4193.29,908
"1169","moderate poverty","Health & Sports","2007-07",300.33,22
"1170","high poverty","History & Civics","2007-07",594.05,320
"1171","highest poverty","History & Civics","2007-07",9647.32,2000
"1172","moderate poverty","History & Civics","2007-07",742,79
"1173","high poverty","Literacy & Language","2007-07",18322.37,2978
"1174","highest poverty","Literacy & Language","2007-07",69518.77,8429
"1175","low poverty","Literacy & Language","2007-07",577.18,173
"1176","moderate poverty","Literacy & Language","2007-07",3482.14,635
"1177","high poverty","Math & Science","2007-07",10804.12,2266
"1178","highest poverty","Math & Science","2007-07",42312.05,8724
"1179","low poverty","Math & Science","2007-07",1021.08,233
"1180","moderate poverty","Math & Science","2007-07",682.31,212
"1181","high poverty","Music & The Arts","2007-07",1856.38,734
"1182","highest poverty","Music & The Arts","2007-07",9222.09,3461
"1183","low poverty","Music & The Arts","2007-07",1333,45
"1184","moderate poverty","Music & The Arts","2007-07",155,20
"1185","high poverty","Special Needs","2007-07",1446.45,53
"1186","highest poverty","Special Needs","2007-07",9203.44,967
"1187","moderate poverty","Special Needs","2007-07",947.14,61
"1188","high poverty","Applied Learning","2007-08",5826.1,1661
"1189","highest poverty","Applied Learning","2007-08",26929.46,5054
"1190","low poverty","Applied Learning","2007-08",467.4,22
"1191","moderate poverty","Applied Learning","2007-08",2784.93,271
"1192","high poverty","Health & Sports","2007-08",2255.15,2707
"1193","highest poverty","Health & Sports","2007-08",10037.49,3200
"1194","moderate poverty","Health & Sports","2007-08",827.86,236
"1195","high poverty","History & Civics","2007-08",5119.46,898
"1196","highest poverty","History & Civics","2007-08",17501.96,2920
"1197","low poverty","History & Civics","2007-08",383,70
"1198","moderate poverty","History & Civics","2007-08",2071.99,636
"1199","high poverty","Literacy & Language","2007-08",28754.53,3921
"1200","highest poverty","Literacy & Language","2007-08",118154.32,18329
"1201","low poverty","Literacy & Language","2007-08",1611.71,110
"1202","moderate poverty","Literacy & Language","2007-08",13296.63,2276
"1203","high poverty","Math & Science","2007-08",13281.02,3407
"1204","highest poverty","Math & Science","2007-08",51586.92,10193
"1205","low poverty","Math & Science","2007-08",958.58,90
"1206","moderate poverty","Math & Science","2007-08",8554.52,1328
"1207","high poverty","Music & The Arts","2007-08",4351.15,1041
"1208","highest poverty","Music & The Arts","2007-08",21689.3,7532
"1209","low poverty","Music & The Arts","2007-08",787.55,650
"1210","moderate poverty","Music & The Arts","2007-08",5039.45,2510
"1211","high poverty","Special Needs","2007-08",4913.21,730
"1212","highest poverty","Special Needs","2007-08",9025.53,701
"1213","low poverty","Special Needs","2007-08",769.14,56
"1214","moderate poverty","Special Needs","2007-08",2135.97,118
"1215","high poverty","Applied Learning","2007-09",5686.54,2952
"1216","highest poverty","Applied Learning","2007-09",28978.37,5452
"1217","low poverty","Applied Learning","2007-09",532.86,322
"1218","moderate poverty","Applied Learning","2007-09",1492.11,98
"1219","high poverty","Health & Sports","2007-09",1666.19,2310
"1220","highest poverty","Health & Sports","2007-09",11141.97,4450
"1221","moderate poverty","Health & Sports","2007-09",1863.83,630
"1222","high poverty","History & Civics","2007-09",5342.94,2254
"1223","highest poverty","History & Civics","2007-09",17493.02,4899
"1224","low poverty","History & Civics","2007-09",182,20
"1225","moderate poverty","History & Civics","2007-09",4179.11,1140
"1226","high poverty","Literacy & Language","2007-09",25778.85,4114
"1227","highest poverty","Literacy & Language","2007-09",139346.56,20368
"1228","low poverty","Literacy & Language","2007-09",2324.26,676
"1229","moderate poverty","Literacy & Language","2007-09",10319.43,1089
"1230","high poverty","Math & Science","2007-09",22861.12,5034
"1231","highest poverty","Math & Science","2007-09",69579.2,15159
"1232","moderate poverty","Math & Science","2007-09",6986.46,1316
"1233","high poverty","Music & The Arts","2007-09",4181.72,672
"1234","highest poverty","Music & The Arts","2007-09",28852.66,9440
"1235","low poverty","Music & The Arts","2007-09",418,55
"1236","moderate poverty","Music & The Arts","2007-09",7121.51,441
"1237","high poverty","Special Needs","2007-09",4505.72,130
"1238","highest poverty","Special Needs","2007-09",19409.39,795
"1239","moderate poverty","Special Needs","2007-09",6024.24,89
"1240","high poverty","Applied Learning","2007-10",11382.54,2700
"1241","highest poverty","Applied Learning","2007-10",51741.52,11584
"1242","low poverty","Applied Learning","2007-10",1415.59,86
"1243","moderate poverty","Applied Learning","2007-10",3649.55,2450
"1244","high poverty","Health & Sports","2007-10",3527,1768
"1245","highest poverty","Health & Sports","2007-10",36090.81,7241
"1246","moderate poverty","Health & Sports","2007-10",876.74,354
"1247","high poverty","History & Civics","2007-10",8012.93,1345
"1248","highest poverty","History & Civics","2007-10",35357.96,6974
"1249","low poverty","History & Civics","2007-10",437.66,20
"1250","moderate poverty","History & Civics","2007-10",1812.81,313
"1251","high poverty","Literacy & Language","2007-10",48618.08,8445
"1252","highest poverty","Literacy & Language","2007-10",241396.65,39467
"1253","low poverty","Literacy & Language","2007-10",5447.1,604
"1254","moderate poverty","Literacy & Language","2007-10",22924.61,3482
"1255","high poverty","Math & Science","2007-10",37398.63,9062
"1256","highest poverty","Math & Science","2007-10",155097.36,31146
"1257","low poverty","Math & Science","2007-10",5301.41,897
"1258","moderate poverty","Math & Science","2007-10",17428.46,3127
"1259","high poverty","Music & The Arts","2007-10",9798.79,4089
"1260","highest poverty","Music & The Arts","2007-10",64107.39,23090
"1261","low poverty","Music & The Arts","2007-10",1248.74,901
"1262","moderate poverty","Music & The Arts","2007-10",4446.51,874
"1263","high poverty","Special Needs","2007-10",5422.18,500
"1264","highest poverty","Special Needs","2007-10",35413.98,2230
"1265","moderate poverty","Special Needs","2007-10",4694.26,172
"1266","high poverty","Applied Learning","2007-11",13664,2692
"1267","highest poverty","Applied Learning","2007-11",54394.81,10050
"1268","low poverty","Applied Learning","2007-11",5499,131
